YYYYMMDD,TG,SQ,DR,RH
1991-08-13,147,8,0,-1
1991-08-14,162,91,0,0
1991-08-15,181,94,0,0
1991-08-16,173,71,0,0
1991-08-17,163,43,32,43
1991-08-18,158,97,0,0
1991-08-19,165,61,0,-1
1991-08-20,168,52,19,7
1991-08-21,168,125,0,0
1991-08-23,185,100,25,28
1991-08-24,163,96,5,1
1991-08-25,170,38,0,0
1991-08-26,161,52,0,0
1991-08-27,168,79,0,0
1991-08-28,148,42,0,0
1991-08-29,156,112,0,0
1991-08-30,160,130,0,0
1991-08-31,174,130,0,0
1991-09-01,187,128,0,0
1991-09-02,186,113,0,0
1991-09-03,197,126,0,0
1991-09-04,183,124,0,0
1991-09-05,159,0,0,-1
1991-09-06,148,13,0,0
1991-09-07,157,3,0,-1
1991-09-08,154,52,0,-1
1991-09-09,137,0,0,0
1991-09-10,147,72,0,-1
1991-09-11,118,29,0,0
1991-09-12,105,64,0,0
1991-09-13,117,120,0,0
1991-09-14,149,102,0,0
1991-09-15,155,1,57,59
1991-09-16,140,23,38,105
1991-09-17,160,48,0,0
1991-09-18,158,23,28,11
1991-09-19,125,98,0,0
1991-09-20,102,43,0,0
1991-09-21,135,95,0,0
1991-09-22,149,36,20,35
1991-09-23,142,5,53,36
1991-09-24,176,21,30,23
1991-09-25,142,0,97,108
1991-09-26,141,0,23,11
1991-09-27,118,0,87,53
1991-09-28,122,67,27,9
1991-09-29,130,15,66,73
1991-09-30,111,7,91,107
1991-10-01,112,33,23,31
1991-10-02,125,36,27,22
1991-10-03,134,15,31,13
1991-10-04,117,72,0,0
1991-10-05,124,61,6,5
1991-10-06,110,70,18,5
1991-10-07,96,14,0,0
1991-10-08,131,38,0,0
1991-10-09,115,0,0,0
1991-10-10,131,71,0,0
1991-10-11,144,77,0,0
1991-10-12,120,19,55,41
1991-10-13,126,0,91,43
1991-10-14,121,55,0,0
1991-10-15,112,41,0,0
1991-10-16,129,24,49,29
1991-10-17,91,47,61,60
1991-10-18,93,43,60,64
1991-10-19,78,57,29,33
