Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m3),Opmerkingen
31 mei 2021,9.195,9.019,865,2.067,6.936,Smartmeter
30 mei 2021,9.181,9.019,843,2.067,6.935,Smartmeter
29 mei 2021,9.177,9.019,823,2.067,6.934,Smartmeter
28 mei 2021,9.176,9.017,823,2.042,6.934,Smartmeter
27 mei 2021,9.175,9.014,823,2.033,6.932,Smartmeter
26 mei 2021,9.174,9.004,823,2.022,6.931,Smartmeter
25 mei 2021,9.172,8.999,823,2.009,6.931,Smartmeter
24 mei 2021,9.166,8.999,816,2.009,6.928,Smartmeter
23 mei 2021,9.153,8.999,807,2.009,6.927,Smartmeter
22 mei 2021,9.146,8.999,799,2.009,6.925,Smartmeter
21 mei 2021,9.145,8.995,798,1.996,6.925,Smartmeter
20 mei 2021,9.144,8.993,798,1.979,6.924,Smartmeter
19 mei 2021,9.143,8.982,798,1.972,6.922,Smartmeter
18 mei 2021,9.142,8.981,798,1.950,6.922,Smartmeter
17 mei 2021,9.141,8.978,798,1.941,6.919,Smartmeter
16 mei 2021,9.126,8.978,791,1.941,6.916,Smartmeter
15 mei 2021,9.122,8.978,781,1.941,6.915,Smartmeter
14 mei 2021,9.121,8.976,781,1.931,6.913,Smartmeter
13 mei 2021,9.117,8.976,758,1.931,6.912,Smartmeter
12 mei 2021,9.116,8.969,758,1.912,6.912,Smartmeter
11 mei 2021,9.115,8.967,758,1.905,6.910,Smartmeter
10 mei 2021,9.114,8.964,758,1.893,6.910,Smartmeter
9 mei 2021,9.100,8.964,747,1.893,6.909,Smartmeter
8 mei 2021,9.095,8.964,742,1.893,6.904,Smartmeter
7 mei 2021,9.094,8.962,742,1.868,6.902,Smartmeter
6 mei 2021,9.092,8.959,742,1.856,6.898,Smartmeter
5 mei 2021,9.091,8.947,741,1.840,6.895,Smartmeter
4 mei 2021,9.089,8.943,741,1.836,6.890,Smartmeter
3 mei 2021,9.088,8.939,741,1.825,6.886,Smartmeter
2 mei 2021,9.078,8.939,725,1.825,6.883,Smartmeter
1 mei 2021,9.076,8.939,707,1.825,6.879,Smartmeter
30 apr. 2021,9.074,8.935,707,1.821,6.875,Smartmeter
29 apr. 2021,9.073,8.920,707,1.821,6.867,Smartmeter
28 apr. 2021,9.071,8.918,707,1.801,6.864,Smartmeter
27 apr. 2021,9.069,8.918,683,1.801,6.861,Smartmeter
26 apr. 2021,9.068,8.911,683,1.781,6.859,Smartmeter
25 apr. 2021,9.064,8.911,667,1.781,6.854,Smartmeter
24 apr. 2021,9.061,8.911,648,1.781,6.851,Smartmeter
23 apr. 2021,9.060,8.909,648,1.760,6.851,Smartmeter
22 apr. 2021,9.058,8.898,648,1.746,6.847,Smartmeter
21 apr. 2021,9.057,8.897,648,1.727,6.845,Smartmeter
20 apr. 2021,9.056,8.894,648,1.706,6.843,Smartmeter
19 apr. 2021,9.054,8.892,648,1.694,6.841,Smartmeter
18 apr. 2021,9.045,8.892,632,1.694,6.839,Smartmeter
17 apr. 2021,9.043,8.892,610,1.694,6.838,Smartmeter
16 apr. 2021,9.041,8.890,610,1.670,6.836,Smartmeter
15 apr. 2021,9.040,8.888,610,1.658,6.830,Smartmeter
14 apr. 2021,9.039,8.878,610,1.644,6.826,Smartmeter
13 apr. 2021,9.038,8.876,610,1.625,6.822,Smartmeter
12 apr. 2021,9.037,8.873,610,1.610,6.815,Smartmeter
